,longitude,latitude,arvT,levT,stayTime,distance
222,110.304496,25.353034,4/7/2019 21:33,4/8/2019 8:18,38734,0
223,110.304397,25.352916,4/8/2019 8:20,4/8/2019 8:33,769,0
224,110.304588,25.353076,4/8/2019 8:35,4/8/2019 8:45,575,0
225,111.518531,24.41555,4/8/2019 13:07,4/8/2019 15:34,8806,0
226,111.518562,24.415462,4/8/2019 15:40,4/8/2019 15:54,813,0
227,111.523376,24.448431,4/8/2019 16:05,4/8/2019 16:11,355,0
228,111.523353,24.448497,4/8/2019 16:11,4/8/2019 16:31,1214,0
229,111.550354,24.390781,4/8/2019 17:20,4/8/2019 18:21,3676,0
230,111.518653,24.415567,4/8/2019 18:37,4/8/2019 20:37,7207,0
231,111.526954,24.419645,4/8/2019 20:44,4/9/2019 9:14,45003,0
232,111.540565,24.418441,4/9/2019 11:05,4/9/2019 11:23,1034,0
233,111.518569,24.415609,4/9/2019 11:42,4/9/2019 14:01,8341,0
234,111.518562,24.415479,4/9/2019 14:33,4/11/2019 16:46,7995,0
235,111.522415,24.416217,4/11/2019 17:01,4/11/2019 17:14,757,0
236,111.538337,24.407032,4/11/2019 17:35,4/11/2019 17:50,864,0
237,111.518569,24.415521,4/11/2019 17:59,4/11/2019 18:09,591,0
238,111.528022,24.41463,4/11/2019 18:24,4/11/2019 19:13,2945,0
239,110.304435,25.352966,4/11/2019 22:05,4/12/2019 0:06,7298,0
240,110.304603,25.353113,4/12/2019 1:03,4/13/2019 14:22,47939,0
241,110.285293,25.342723,4/13/2019 14:31,4/13/2019 16:05,5657,0
242,110.184356,25.276317,4/13/2019 16:24,4/13/2019 16:32,458,0
243,110.159866,25.242974,4/13/2019 16:52,4/13/2019 16:58,332,0.222389853
244,110.173316,25.243515,4/13/2019 17:09,4/13/2019 17:19,637,0
245,110.180374,25.258491,4/13/2019 17:25,4/13/2019 17:52,1623,0
246,110.303871,25.318391,4/14/2019 16:08,4/14/2019 16:59,3035,0
247,110.306144,25.318085,4/14/2019 16:59,4/14/2019 17:33,2006,0.444779707
248,110.304809,25.352308,4/19/2019 13:48,4/19/2019 13:59,631,0
249,110.302551,25.356269,4/19/2019 14:01,4/19/2019 14:25,1415,0
250,110.300064,25.341852,4/19/2019 14:25,4/19/2019 14:47,1335,0
251,110.303848,25.318487,4/19/2019 15:04,4/19/2019 15:59,3244,0
252,110.30397,25.318159,4/19/2019 16:49,4/19/2019 18:37,6473,0
253,110.312965,25.311265,4/19/2019 18:45,4/19/2019 19:38,3194,0
254,110.314552,25.339508,4/19/2019 20:11,4/19/2019 21:12,3671,0
255,110.304626,25.353002,4/19/2019 23:45,4/20/2019 9:04,33566,0
256,110.303833,25.318328,4/20/2019 9:26,4/20/2019 11:37,7835,0
257,110.300758,25.328783,4/20/2019 11:48,4/20/2019 12:07,1121,0.222389853
258,110.318542,25.344398,4/20/2019 12:33,4/20/2019 13:07,2072,0
259,110.065795,25.521701,4/20/2019 14:40,4/20/2019 14:50,639,0.222389853
260,109.405136,25.224149,4/20/2019 18:46,4/20/2019 19:12,1583,0
261,109.405113,25.224193,4/20/2019 19:16,4/20/2019 19:26,603,0
262,109.407745,25.219284,4/20/2019 21:13,4/21/2019 8:53,41974,0
263,109.405761,25.224306,4/21/2019 8:58,4/21/2019 9:07,502,0
